RU,CS,Value
не один,ne jednou,0.3245614035087719
вполне одно,úplně jedno,0.20263157894736838
перед окружением,před okamžikem,0.1858552631578947
в том окружении,v tom okamžiku,0.1619433198380567
аж до суда,až dosud,0.08223684210526316
в отповедь,v odpověď,0.10526315789473684
на страну,na stranu,0.009868421052631578
на себя,na sebe,0.05263157894736842
в ядре,v jádru,0.21052631578947367
целый живот,celý život,0.09736842105263158
в следах,v důsledku,0.2368421052631579
есть порой,na světě,0.26900584795321636
где не,snad jen,0.368421052631579
с того,z toho,0.05263157894736842
как быстрейший,co nejrychleji,0.22874493927125508
до конца и,dokonce i,0.03618421052631579
"потом, что",potom co,0.125
чем выше,čím více,0.07518796992481203
и где,i když,0.17105263157894737
просто же,proto že,0.09210526315789473
а видит,ale vždyť,0.3114035087719298
"не менее, нежели",ne méně než,0.22368421052631576
уж вообще,už vůbec,0.21710526315789472
не дождь ,než dojde,0.2807017543859649
так же можно,povídalo se,0.21578947368421053
тем способом,tímto způsobem,0.1291866028708134
в каждом припадке,v každém případě,0.06315789473684211
между иными,mezi jiným,0.17894736842105263
ложная речь,lze říci,0.26052631578947366
в подстатье,v podstatě,0.14035087719298245
как знамя,jak je známo,0.19407894736842105
возле нее,podle něj,0.15526315789473683
быстро решено,krátce řečeno,0.17543859649122806
как река,jak se říká,0.21052631578947367
возле всего,podle všeho,0.12679425837320576
про Бога,proboha,0.05263157894736842
еще спишь,asi spíš,0.12171052631578946
а настолько,a navíc,0.2573099415204678
еще тяжело,či co,0.3362573099415205
не один же,nejen že,0.13486842105263155
скоро есть,skoro ještě,0.10818713450292397
не такого,nic takového,0.22039473684210525
нежели бы,do prčic,0.27960526315789475
не иной нежели,nic jiného než,0.2105263157894737
кусок от,kousek od,0.03383458646616541
так пресно,přesně tak,0.2777777777777778
как бы не,jak by ne,0.06390977443609022
все всюду,všeho všudy,0.19407894736842105
о вздоре с тем,navzdory tomu,0.2416267942583732
на конец,na konec,0.03383458646616541
в близких,v blízkosti,0.19407894736842105
аж по,až po,0.02631578947368421
в форме,ve formě,0.19298245614035087
с страны,za účelem,0.3464912280701754
на учет,na účet,0.12781954887218044
в жизни с,v platnost,0.2593984962406015
в припадке,nedaleko,0.2543859649122807
из-за утраты,na útraty,0.0935672514619883
возле суда,po skončení,0.21052631578947367
на закладке,s ohledem na,0.2421052631578947
