CS,RU,normalized WAS
ne jednou,не раз,3.409362145330854
úplně jedno,все равно,3.667669106004906
před okamžikem,только что,3.4833347633758907
v tom okamžiku,тут же,3.738728496176989
až dosud,до сих пор,3.256313295262305
v odpověď,в ответ,4.215675793135261
na stranu,в сторону,3.99020861806909
na sebe,на себя,2.934724286358457
v jádru,по существу,2.963354776074704
celý život,всю жизнь,3.4636942202741072
v důsledku,в результате,3.143012861682143
na světě,на свете,3.47914525153432
snad jen,разве что,3.038091660034304
z toho,в том числе,3.2309610541299523
co nejrychleji,как только,3.7809663027206826
dokonce i,а то и,3.815721366752475
potom co,после того как,2.7980691047399726
čím více,чем больше,3.1678122815265866
i když,хотя и,3.1784173397144486
proto že,оттого что,3.347720166557184
ale vždyť,да ведь,3.638435947359161
ne méně než,хотя бы,2.994708085948454
už vůbec,тем более,3.8858514319640305
než dojde,прежде чем,3.006252597536465
povídalo se,по слухам,3.144254464341178
tímto způsobem,таким образом,3.6045100456470345
v každém případě,во всяком случае,3.6078517544312425
mezi jiným,между прочим,3.2530734593757873
lze říci,можно сказать,3.1135863396085255
v podstatě,в сущности,3.188757624992902
jak je známo,как известно,3.5937388095242278
podle něj,по его мнению,2.916450161084071
krátce řečeno,одним словом,3.6649095717135123
jak se říká,что называется,3.264443725544654
podle všeho,судя по всему,2.798555314622082
proboha,ради Бога,3.1352853341058338
asi spíš,все же,3.7535483766645394
a navíc,еще и,3.74142775020859
či co,что ли,3.640155992615201
nejen že,не то что,3.3445818962594616
skoro ještě,едва ли не,3.8262832892404455
nic takového,ничего подобного,3.0846622307455243
do prčic,да ладно,3.4872648555872003
nic jiného než,не иначе как,3.3835887812655465
kousek od,почти что,3.2815323558574927
přesně tak,именно что,3.892046206235505
jak by ne,как бы не так,2.7201319730688023
všeho všudy,всего-навсего,3.664423301640546
navzdory tomu,несмотря на,3.5024021995915606
na konec,в конце,3.121620677777132
v blízkosti,рядом с,4.021801771690404
až po,вплоть до,2.46228878471527
ve formě,в виде,3.6817444383897033
za účelem,с целью,3.3752275177806697
na účet,по поводу,3.0066014700102928
v platnost,в силу,3.4176218368758855
nedaleko,недалеко от,2.861158278478741
na útraty,за счет,4.077714554134488
po skončení,по окончании,3.110109931700581
s ohledem na,с учетом,3.573476198877542
