BG,RU,normalized WAS
не веднъж,не однажды,4.012391480646887
все едно,все одно,2.9733823852306833
току-що, сейчас что,3.453352692557749
още начаса,еще на час,3.284536110974365
досега,до сегодня,3.897411627738129
в отговор,в отповедь,3.5522591271726296
встрани,в страны,3.559224862390534
на себе си,на себе,2.9935081111525457
по същество,по веществу,3.0342032883184227
цял живот,целый живот,3.4255522586260057
в резултат,в выводе,3.018737047271177
на света,на мире,2.909265819285988
освен да,кроме да,3.2718481495231138
в това число,в то число,3.6789466280300696
още щом,еще тотчас,3.4110980441630137
че даже и,что даже и,3.540665995784605
след като,след как,3.2870082278523327
колкото повече,сколько повесток,3.2850704827619692
макар и,конечно и,3.293173202327262
от това че,однако что,3.300826603840931
та нали,та ли,3.3693304186556534
най-малкото,наименьший,3.612801873764997
още повече,еще повестка,3.278335556364795
преди да,приди да,3.7541434018479416
според слухове,согласно слухам,2.9093749214078044
по такъв начин,по такому способу,3.720100667109926
във всеки случай,во всякий случай,3.254839604717244
между другото,между другим,3.4428077038187355
може да се каже,может себе сказать,3.47471991689386
в същност,в сущность,3.9857071555405756
както е известно,как это известно,3.5508792524303328
по негово мнение,за его мнение,3.3122619164296867
с една дума,с одной мыслью,3.9048386969306517
дето се вика,его зовут,3.381037376997603
съдейки по всичко,судить по всему,3.0271442989513466
за бога,за бога,3.310543125094291
все пак,все снова,3.465020432023741
още и,больше и,4.0635601845955724
ли е,или есть,3.7131475027712115
камо ли,уже ли,3.7314316394399616
едва ли не,почти что не,3.3146332620695476
нищо подобно,ничего подобно,3.157922161521765
добре де,хорошо же,3.759235845163949
без друго,без другого,3.4681119513030487
почти като,почти как,2.922538163108717
именно че,именно а,3.321218336742911
как ли пък не,как ли не,3.1514462225422086
всичко на всичко,все на все,2.6546939180032756
въпреки че,вопреки чему,3.6503910049693924
в края на,на краю,2.956429276022259
редом с,в ряд с,3.907699588353373
чак до,пока до,4.188484344297879
във вид на,на вид,2.686491821712462
от страна на,от страны на,3.2555069852505514
по повод на,на поводу,3.2834287079894002
по силата на,по силе,3.369623977879127
недалече от,не дальше чем,3.8960476028600417
за сметка на,за сметой,3.2771322408617642
след свършването,по завершению,3.2450709024535778
с оглед на,с оглядкой на,3.51861235202329
